,QC_08,lv1_08,Ground_temperature_08,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Temperature_20,Temperature_20_H0,Relative_humidity_20
2009/01/01,0,0,,47,254.99678,42,/,0,0,,47,255.82341,42
2009/01/02,0,0,,47,253.63045,42,/,0,0,,47,253.82758,46
2009/01/03,0,0,,47,250.78346,41,/,0,0,,47,252.92865,47
2009/01/04,0,0,,47,252.15324,34,/,0,0,,47,258.31262,28
2009/01/05,0,0,,47,255.25302,28,/,0,0,,47,255.22539,29
2009/01/06,0,0,,47,254.52971,28,/,0,0,,47,254.06044,47
2009/01/07,0,0,,47,250.61334,47,/,0,0,,47,253.4541,47
2009/01/08,0,0,,47,248.81432,42,/,0,0,,47,251.28871,42
2009/01/09,0,0,,47,250.41383,42,/,0,0,,47,254.46249,42
2009/01/10,0,0,,47,250.78198,42,/,0,0,,47,254.88846,42
2009/01/11,0,0,,47,251.99284,42,/,0,0,,47,253.10773,47
2009/01/12,0,0,,47,250.11638,42,/,0,0,,47,254.9229,42
2009/01/13,0,0,,47,251.6161,42,/,0,0,,47,256.48611,42
2009/01/14,0,0,,47,252.70985,42,/,0,0,,47,257.39709,47
2009/01/15,0,0,,47,255.16879,28,/,0,31,272.04766666666666,47,259.62082,24
2009/01/16,0,0,,47,254.57602,24,/,0,0,,47,259.8299,29
2009/01/17,0,0,,47,257.46637,29,/,0,0,,47,260.75446,30
2009/01/18,0,0,,47,257.75754,35,/,0,0,,47,262.02109,35
2009/01/19,0,0,,47,257.7955,42,/,0,0,,47,261.72946,42
2009/01/20,0,0,,47,257.88144,34,/,0,31,270.6863333333333,47,254.52237,41
2009/01/21,0,0,,47,253.61894,41,/,0,31,277.85266666666666,34,258.90646,28
2009/01/22,0,0,,47,255.88902,31,/,0,31,260.0953333333333,47,255.51288,28
2009/01/23,0,0,,47,249.76146,34,/,0,31,261.639,47,253.99933,41
2009/01/24,0,0,,47,251.78261,41,/,0,31,272.70899999999995,47,258.27875,32
2009/01/25,0,0,,47,255.57567,29,/,0,0,,47,254.4422,28
2009/01/26,0,0,,47,251.95746,28,/,0,0,,47,257.21201,28
2009/01/27,0,0,,47,254.09955,42,/,0,31,276.498,47,261.33325,42
2009/01/28,0,0,,47,257.68781,42,/,0,31,274.0096666666667,47,259.51788,42
2009/01/29,3,143,269.23333333333335,47,256.20178,42,/,3,177,276.69100000000003,47,262.07947,42
2009/01/30,0,0,,47,258.457,42,/,0,0,,47,262.62109,42
2009/01/31,0,0,,47,260.06897,42,/,0,0,,47,260.77155,42
2009/02/01,0,0,,47,259.00497,42,/,0,0,,47,259.02335,42
2009/02/02,0,0,,47,255.10008,42,/,0,31,275.3903333333333,47,258.74631,42
2009/02/03,0,31,269.50433333333336,47,255.43889,42,/,0,31,279.1733333333334,47,259.63135,42
2009/02/04,0,31,269.363,47,257.82559,42,/,0,31,276.14300000000003,47,263.3382,42
2009/02/05,0,0,,47,258.33026,35,/,0,31,283.793,47,264.84747,35
2009/02/06,0,31,273.7656666666667,47,261.03134,35,/,0,31,276.7743333333333,47,265.63846,35
2009/02/07,0,31,272.05899999999997,47,261.83905,35,/,0,31,274.205,47,263.81348,35
2009/02/08,0,31,270.7323333333333,47,259.57339,35,/,0,31,275.89033333333333,47,261.59433,35
2009/02/09,0,31,268.7556666666667,47,259.29846,35,/,0,31,278.632,47,261.70593,35
2009/02/10,0,31,270.5593333333333,47,258.83972,35,/,0,31,282.28666666666663,47,268.90369,35
2009/02/11,0,0,272.9026666666666,47,263.74112,35,/,0,31,284.62666666666667,47,269.3999,35
2009/02/12,0,31,274.89300000000003,47,263.89615,35,/,0,31,275.00666666666666,47,261.90698,42
2009/02/13,0,31,269.8403333333333,47,258.97852,42,/,0,31,275.66999999999996,47,264.55502,34
2009/02/14,0,31,268.77166666666665,47,258.93158,34,/,0,31,274.9176666666667,47,263.09131,35
2009/02/15,0,31,270.03433333333334,47,260.50854,35,/,0,31,276.55033333333336,47,261.16,35
2009/02/16,0,31,271.7213333333333,47,260.2001,42,/,0,31,276.6193333333333,47,263.21878,42
2009/02/17,0,31,271.2923333333333,47,260.52438,42,/,0,31,278.4506666666667,47,263.95242,42
2009/02/18,0,31,278.68399999999997,47,262.38077,42,/,0,31,267.47333333333336,47,259.74319,42
2009/02/19,0,31,270.35,47,255.47522,34,/,0,31,265.81066666666663,47,255.25764,42
2009/02/20,0,0,,47,254.24994,42,/,0,0,,47,263.75977,29
2009/02/21,0,31,276.8326666666667,47,260.70737,42,/,0,31,269.311,47,260.3602,41
2009/02/22,0,31,279.16133333333335,47,255.85352,28,/,0,31,271.6106666666667,47,257.20969,28
2009/02/23,0,31,279.544,47,255.79065,28,/,0,31,271.4993333333333,47,261.35138,24
2009/02/24,0,31,276.837,47,258.65436,24,/,0,31,270.26866666666666,47,261.03113,28
2009/02/25,0,31,270.64633333333336,47,258.72833,28,/,2,31,268.4573333333333,47,259.58667,29
2009/02/26,0,31,270.738,47,257.94107,42,/,0,31,268.618,47,258.69373,41
2009/02/27,0,31,273.64866666666666,47,256.16702,42,/,0,31,270.1193333333333,47,257.37048,42
2009/02/28,0,31,276.0293333333333,47,253.67557,42,/,3,31,270.19866666666667,47,256.62064,42
2009/03/01,0,31,272.57033333333334,47,255.76654,42,/,0,31,269.752,47,255.71849,28
2009/03/02,0,31,276.21633333333335,47,250.98764,47,/,0,31,270.90700000000004,47,255.35974,28
2009/03/03,0,31,278.10766666666666,47,254.27521,47,/,0,31,271.11566666666664,47,258.39267,41
2009/03/04,0,31,273.9416666666666,47,259.46533,29,/,0,31,268.42533333333336,47,258.67749,29
2009/03/05,0,31,274.7153333333333,47,257.78287,29,/,0,31,269.217,47,258.86942,29
2009/03/06,0,31,275.164,47,257.11243,42,/,0,31,270.44399999999996,47,259.01758,42
2009/03/07,0,31,279.5706666666667,47,256.94543,42,/,0,31,274.747,47,259.80002,42
2009/03/08,0,31,282.58299999999997,47,258.00043,29,/,0,31,274.725,47,261.15826,42
2009/03/09,0,31,282.53200000000004,47,259.88696,42,/,0,31,275.3376666666667,47,265.38132,35
2009/03/10,0,31,276.56600000000003,47,264.3342,35,/,0,31,274.203,47,264.73248,35
2009/03/11,0,31,271.96066666666667,47,263.45602,35,/,0,31,269.32533333333333,47,257.70996,35
2009/03/12,0,31,267.4323333333333,47,254.52214,42,/,0,31,265.87666666666667,47,250.84685,41
2009/03/13,0,31,,47,249.03192,41,/,0,31,272.342,47,261.12521,29
2009/03/14,0,31,282.894,47,261.45923,29,/,0,31,275.20366666666666,47,264.40857,29
2009/03/15,0,31,283.904,47,260.46109,29,/,0,31,277.03000000000003,47,263.76218,29
2009/03/16,0,31,289.98766666666666,47,259.68283,29,/,0,31,280.4476666666667,47,266.61163,35
2009/03/17,0,31,290.9696666666666,47,262.27521,29,/,0,31,281.43766666666664,47,266.59909,35
2009/03/18,0,31,290.8736666666667,47,262.96341,42,/,0,31,279.714,47,265.86987,29
2009/03/19,0,31,292.1046666666667,47,262.65234,29,/,0,31,283.59333333333336,47,266.54697,42
2009/03/20,0,31,292.702,47,264.41763,42,/,0,31,277.48466666666667,47,267.2973,29
2009/03/21,0,31,282.58299999999997,47,263.70908,42,/,0,31,275.98133333333334,47,264.04031,42
2009/03/22,0,31,281.06666666666666,47,264.96713,42,/,2,31,273.1553333333333,47,261.21594,35
2009/03/23,0,31,288.18966666666665,47,259.1167,42,/,0,31,279.9533333333333,47,263.0134,42
2009/03/24,0,31,285.102,47,260.34564,42,/,0,31,274.837,47,264.67462,42
2009/03/25,0,31,289.87233333333336,47,262.35016,29,/,0,31,279.17566666666664,47,267.8692,42
2009/03/26,0,31,278.20866666666666,47,263.97455,32,/,3,31,272.7313333333334,47,264.46225,29
2009/03/27,2,31,276.422,47,261.79868,42,/,2,31,272.853,47,263.07584,42
2009/03/28,0,31,281.552,47,259.4809,42,/,0,31,274.42566666666664,47,261.64621,42
2009/03/29,0,31,283.62399999999997,47,259.52725,29,/,0,31,275.666,47,259.23987,29
2009/03/30,0,31,283.79266666666666,47,258.72058,42,/,0,31,278.1673333333333,47,261.51181,29
2009/03/31,0,31,283.21466666666663,47,259.54877,29,/,0,31,275.1753333333333,47,260.61276,29
2009/04/01,0,31,283.17633333333333,47,259.55063,29,/,0,31,276.15200000000004,47,262.50455,29
2009/04/02,0,31,287.82900000000006,47,259.73978,42,/,0,31,277.1973333333333,47,265.13757,29
2009/04/03,0,31,285.6116666666667,47,259.82596,29,/,0,31,278.68600000000004,47,263.45975,29
2009/04/04,0,31,282.6003333333333,47,252.15324,34,/,0,31,275.6116666666667,47,260.21536,29
2009/04/05,0,31,286.08299999999997,47,260.82172,29,/,0,31,278.26166666666666,47,263.33664,29
2009/04/06,0,31,289.08500000000004,47,259.73306,47,/,0,31,279.53299999999996,47,264.2067,46
2009/04/07,0,31,291.2116666666667,47,263.20502,29,/,0,31,278.1446666666667,47,270.81915,30
2009/04/08,0,31,285.9413333333333,47,268.32901,30,/,3,31,280.35766666666666,47,269.51974,30
2009/04/09,0,31,289.16533333333336,47,266.22382,43,/,0,31,280.96233333333333,47,268.3476,43
2009/04/10,0,31,292.7606666666667,47,265.38843,43,/,0,31,284.7033333333334,47,268.46985,30
2009/04/11,0,31,292.44166666666666,47,265.91641,30,/,0,31,284.21333333333337,47,265.77734,30
