,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2010/01/01,11,265.34,55.77,793.9,252.1,N,0.0,90.0,277.52,8.97258064516129,8.497419354838708,7.735483870967742,6.351612903225806,7.314193548387096,69.70387096774193,101.81290322580645,207.01193548387096,258.7535483870967,266.69354838709677,266.85645161290324,266.88290322580644
2010/01/02,11,264.82,59.8,793.9,251.9,N,0.0,90.0,277.47,-3.8990322580645156,-1.1512903225806452,0.7741935483870968,-6.70225806451613,3.804838709677419,70.80612903225806,102.38064516129032,206.59645161290322,257.94129032258064,266.6690322580645,267.14290322580644,267.4832258064516
2010/01/03,11,269.98,36.41,793.8,257.4,N,0.0,90.0,280.63,1.3964516129032256,2.775483870967742,3.315483870967742,-1.5906451612903223,5.196129032258064,69.28483870967742,101.58774193548388,208.73290322580647,262.16032258064513,271.9196774193548,272.61387096774195,272.98709677419356
2010/01/04,11,265.17,68.97,793.9,253.9,N,0.0,90.0,277.2,5.709354838709677,6.364516129032257,6.37032258064516,1.613548387096774,6.290967741935484,70.51870967741937,102.6032258064516,207.72806451612902,258.1241935483871,264.961935483871,265.06354838709683,264.92709677419356
2010/01/05,11,269.14,54.42,793.8,261.8,N,0.0,90.0,279.11,9.68225806451613,9.84741935483871,8.440967741935484,2.9374193548387098,6.897419354838709,70.85451612903225,102.85935483870966,208.15774193548384,259.6274193548387,268.7474193548387,269.2590322580645,269.6632258064516
2010/01/06,11,267.09,62.07,793.8,257.3,N,0.0,90.0,279.05,7.862580645161289,8.171290322580646,7.453225806451613,3.0445161290322575,6.758709677419355,70.50290322580645,102.74225806451614,208.66709677419354,260.53516129032255,269.48387096774195,270.06645161290317,270.37548387096774
2010/01/07,11,268.14,70.27,795.1,252.5,N,0.0,90.0,280.84,8.806129032258063,9.108387096774194,8.214193548387097,3.8599999999999994,7.3032258064516125,71.77354838709678,103.5132258064516,208.1332258064516,259.8709677419355,269.27354838709675,269.81645161290317,270.0338709677419
2010/01/08,11,270.53,37.94,793.8,254.9,N,0.0,90.0,280.54,3.516451612903226,4.514516129032258,5.545806451612903,-0.7019354838709677,8.841612903225807,68.82193548387096,101.68290322580646,210.69838709677418,264.3948387096774,273.69451612903225,274.10903225806453,274.1587096774193
2010/01/09,11,268.0,57.05,793.8,258.9,N,0.0,90.0,278.61,-2.658064516129032,4.225483870967741,18.04290322580645,-21.061290322580646,52.58677419354838,69.27387096774194,101.80387096774193,208.72290322580648,260.3167741935484,267.6348387096774,267.8474193548387,267.9464516129032
2010/01/10,11,267.18,58.92,795.0,267.8,N,0.0,90.0,279.53,6.720322580645161,8.542903225806452,10.280322580645162,1.0248387096774194,15.501612903225807,76.59677419354838,107.4658064516129,207.89290322580644,255.69806451612902,263.0912903225807,263.7187096774193,264.21483870967745
