,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/01/01,,,,,,,,,,,,,,,,,,,,,
2009/01/02,,,,,,,,,,,,,,,,,,,,,
2009/01/03,,,,,,,,,,,,,,,,,,,,,
2009/01/04,,,,,,,,,,,,,,,,,,,,,
2009/01/05,,,,,,,,,,,,,,,,,,,,,
2009/01/06,,,,,,,,,,,,,,,,,,,,,
2009/01/07,,,,,,,,,,,,,,,,,,,,,
2009/01/08,,,,,,,,,,,,,,,,,,,,,
2009/01/09,,,,,,,,,,,,,,,,,,,,,
2009/01/10,,,,,,,,,,,,,,,,,,,,,
2009/01/11,,,,,,,,,,,,,,,,,,,,,
2009/01/12,,,,,,,,,,,,,,,,,,,,,
2009/01/13,,,,,,,,,,,,,,,,,,,,,
2009/01/14,,,,,,,,,,,,,,,,,,,,,
2009/01/15,11.0,272.1064516129032,23.48193548387097,795.0580645161289,259.5290322580646,,0.0,90.0,282.41645161290324,8.52483870967742,7.539677419354838,7.079677419354839,6.469354838709679,7.650322580645161,71.59838709677419,103.66709677419355,208.86129032258063,261.09935483870976,270.2006451612903,270.9041935483871,271.393870967742
2009/01/16,,,,,,,,,,,,,,,,,,,,,
2009/01/17,,,,,,,,,,,,,,,,,,,,,
2009/01/18,,,,,,,,,,,,,,,,,,,,,
2009/01/19,,,,,,,,,,,,,,,,,,,,,
2009/01/20,11.0,270.21451612903223,57.59612903225806,797.4548387096775,260.40967741935486,,0.0,90.0,281.338064516129,12.261290322580644,10.944193548387094,9.777419354838708,8.462903225806452,8.776451612903225,72.75064516129034,104.07870967741935,206.71354838709678,257.811935483871,267.10322580645163,267.8587096774193,268.4687096774194
2009/01/21,11.0,275.96774193548384,13.566451612903224,793.5999999999997,264.3677419354839,,0.0,90.0,286.76032258064515,7.671612903225806,6.440645161290323,6.2387096774193544,6.993870967741935,8.330967741935485,68.9332258064516,100.74870967741936,208.87838709677422,264.23290322580647,275.6003225806452,276.4648387096774,277.22129032258067
2009/01/22,11.0,259.7529032258065,47.85032258064517,799.8290322580644,255.88387096774193,,0.0,90.0,272.49548387096775,11.436451612903227,10.188709677419356,9.628064516129033,8.54,8.286451612903228,72.50161290322579,102.85451612903223,201.89451612903224,249.11258064516122,255.40516129032252,255.8709677419355,256.2929032258064
2009/01/23,11.0,261.6325806451613,43.311612903225786,800.5806451612901,253.58064516129033,,0.0,90.0,273.56032258064516,11.04161290322581,9.543225806451613,9.079032258064514,8.426774193548386,8.137419354838709,72.28129032258065,102.62032258064514,202.9474193548387,251.59064516129033,258.7190322580645,259.2993548387097,259.76129032258063
2009/01/24,11.0,272.3551612903226,32.420967741935485,793.7000000000003,263.23548387096776,,0.0,90.0,283.01129032258063,8.699354838709677,7.489677419354839,7.369677419354838,7.623870967741934,8.353225806451613,69.76000000000002,101.53290322580645,206.80419354838708,259.66774193548383,269.4009677419355,270.1422580645161,270.6845161290323
2009/01/25,,,,,,,,,,,,,,,,,,,,,
2009/01/26,,,,,,,,,,,,,,,,,,,,,
2009/01/27,11.0,275.3609677419355,27.79516129032258,793.6032258064514,266.8967741935484,,0.0,90.0,286.35548387096776,9.555806451612902,8.020645161290322,7.625806451612902,7.555161290322581,8.649354838709677,68.73322580645161,101.14903225806451,209.20064516129037,263.1964516129032,272.7674193548387,273.4093548387097,273.78032258064513
