,QC_08,lv1_08,Ground_temperature_08,Ground_temperature_08_1,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Ground_temperature_20_1,Temperature_20,Temperature_20_H0,Relative_humidity_20
2007/01/01,0,0,,,47,255.67122,42,/,0,0,,,47,258.08395,47
2007/01/02,0,0,,,47,259.45209,42,/,0,0,,,47,257.11594,42
2007/01/03,0,0,,,47,257.16742,42,/,0,0,,,47,257.89926,42
2007/01/04,0,0,,,47,257.20703,42,/,0,0,,,47,257.28799,35
2007/01/05,0,0,,,47,257.52643,35,/,0,0,,,29,259.35312,29
2007/01/06,0,0,,,43,258.93079,35,/,0,0,,,47,263.77017,36
2007/01/07,0,0,,,43,257.8913,43,/,0,0,,,47,258.95926,47
2007/01/08,0,0,,,47,253.34511,42,/,1,0,,,,,
2007/01/09,0,0,,,47,252.71529,42,/,0,0,,,47,257.07584,42
2007/01/10,0,0,,,47,254.76387,42,/,0,0,,,42,257.32721,42
2007/01/11,0,0,,,24,252.92747,24,/,0,0,,,34,257.11096,34
2007/01/12,0,0,,,47,252.6916,47,/,0,0,,,47,257.88089,47
2007/01/13,0,0,,,47,255.63882,29,/,0,0,,,47,257.79865,34
2007/01/14,0,0,,,47,253.72125,28,/,0,0,,,47,255.23224,47
2007/01/15,0,0,,,47,252.81815,47,/,0,0,,,47,249.54234,41
2007/01/16,0,0,,,47,247.23271,47,/,0,0,,,47,250.6313,47
2007/01/17,0,0,,,47,248.4408,47,/,0,0,,,47,250.54892,47
2007/01/18,0,0,,,47,249.54573,23,/,0,0,,,47,250.52498,41
2007/01/19,0,0,,,47,250.79361,47,/,0,0,,,47,253.59373,28
2007/01/20,0,0,,,47,252.39063,47,/,0,0,,,47,255.83656,47
2007/01/21,0,0,,,47,255.29927,42,/,0,0,,,47,257.13773,47
2007/01/22,0,0,,,24,253.26466,24,/,0,0,,,47,253.70148,41
2007/01/23,0,0,,,47,250.83983,47,/,0,0,,,47,254.22235,41
2007/01/24,0,0,,,47,251.38832,47,/,0,0,,,47,256.39783,42
2007/01/25,0,0,,,47,253.30937,42,/,0,0,,,47,257.52457,47
2007/01/26,0,0,,,47,252.16765,41,/,0,0,,,47,255.94353,47
2007/01/27,0,0,,,47,251.9234,47,/,0,0,,,47,254.09253,41
2007/01/28,0,0,,,42,255.31639,42,/,0,0,,,47,259.79489,29
