,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2010/01/01,11,272.71,32.45,793.7,259.7,N,0.0,90.0,282.83,5.8754838709677415,6.268064516129032,5.994193548387096,3.711290322580645,7.369032258064516,70.0158064516129,101.9958064516129,207.46806451612903,259.94193548387096,270.1077419354839,270.8116129032258,271.6070967741935
2010/01/02,11,274.74,29.87,793.7,260.3,N,0.0,90.0,284.33,-3.0706451612903227,-0.6148387096774193,0.9880645161290322,-5.043548387096774,5.171290322580645,69.44322580645161,101.97096774193548,208.77774193548385,262.7277419354839,273.9212903225806,274.49806451612903,275.33354838709676
2010/01/03,11,273.41,33.3,793.7,262.4,N,0.0,90.0,283.53,4.544838709677419,5.307096774193548,5.40258064516129,0.9932258064516128,6.710645161290323,69.98451612903226,102.17290322580645,208.66709677419354,260.8974193548387,270.0322580645161,270.66967741935485,271.20451612903224
2010/01/04,11,270.71,46.49,793.8,261.9,N,0.0,90.0,280.98,6.835483870967742,7.219354838709677,6.629677419354838,1.7267741935483871,6.541612903225806,70.23709677419355,102.30290322580646,209.08258064516127,261.0987096774194,270.3461290322581,270.87774193548387,271.2574193548387
2010/01/05,11,275.75,34.68,793.7,264.0,N,0.0,90.0,284.36,4.872258064516129,5.460322580645161,5.451935483870967,1.6019354838709676,6.915806451612903,69.44,101.73,209.38129032258064,263.2590322580645,274.39354838709676,275.15451612903223,275.82
2010/01/06,11,275.34,34.94,793.7,260.9,N,0.0,90.0,285.37,7.260000000000001,7.770322580645161,7.046129032258063,3.3532258064516127,7.735483870967742,70.88903225806452,102.98387096774192,209.5848387096774,261.931935483871,271.9935483870968,272.658064516129,273.11290322580646
2010/01/07,11,276.73,27.71,793.6,259.1,N,0.0,90.0,285.79,2.041290322580645,2.8593548387096774,3.267096774193548,1.3696774193548387,6.525483870967742,69.05225806451612,101.56451612903226,210.22580645161293,264.65096774193546,275.79967741935485,276.6058064516129,277.3267741935484
2010/01/08,11,274.46,32.41,793.7,264.0,N,0.0,90.0,284.73,-19.919032258064515,-3.1635483870967738,26.697741935483872,-60.042580645161294,89.61903225806452,70.22709677419354,102.43516129032257,209.82129032258064,261.9874193548387,271.0164516129032,271.5903225806452,272.20032258064515
2010/01/09,11,270.85,47.84,793.7,262.2,N,0.0,90.0,281.48,6.756451612903226,7.70483870967742,8.841612903225807,-0.19290322580645164,12.953870967741935,70.58709677419355,102.67451612903226,208.52870967741936,259.78419354838707,267.7367741935484,268.30741935483866,268.7193548387097
2010/01/10,11,266.51,68.5,799.6,253.5,N,0.0,90.0,278.22,5.963225806451613,7.389677419354839,8.223870967741934,-0.702258064516129,10.344516129032257,72.35,103.81709677419356,205.65741935483868,254.32354838709676,262.29516129032254,262.9164516129032,263.58419354838713
2010/01/11,11,263.94,100.0,800.7,261.6,N,0.0,90.0,276.86,3.426129032258064,5.151935483870967,7.041612903225806,-0.6245161290322581,10.379999999999999,72.55935483870968,103.41451612903225,203.13129032258064,251.21354838709678,259.6638709677419,260.2664516129032,260.92709677419356
2010/01/12,11,264.96,84.71,796.6,251.9,N,0.0,90.0,276.19,1.6461290322580646,3.0632258064516127,4.688387096774194,-0.43258064516129024,7.937741935483871,70.35354838709677,102.03999999999999,204.77387096774194,254.9474193548387,263.5338709677419,264.20645161290327,264.7848387096774
